Field Name,Field Path,Lucene Path,CV DOMAIN,Display Name,Lucene  Status,,Description,FinalField,Status,Data Type,Data to include,,,,,,,,,,,,,
Approved By,/approvedBy,root_approvedBy,,Record Approved By,,,"A string representing a user or entity which approved the assignment of UNII, or approval ID.",approvedBy,Current,string,x,,,,,,,,,,,,,
Codes,/codes,,,Record Codes,REMOVE LUCENE PATH,,"A list of codes used for this record, containing external identifiers, external classification designations, and external link-outs.",codes,Current,array <Code>,x,,,,,,,,,,,,,
Code System,/codes/?/codeSystem,root_codes_codeSystem,CODE_SYSTEM,Code System,,,The orginizational system which defines the code meaning (e.g. the originating database or classification system).,codeSystem,Current,string,x,,,,,,,,,,,,,
Comments,/codes/?/comments,root_codes_comments,,Code Comments,,,Any comments regarding the relationship.,comments,Current,string,x,,,,,,,,,,,,,
Code Type,/codes/?/type,root_codes_type,CODE_TYPE,Code Type,,,"The type of the code (e.g. ""PRIMARY"" for a primary code, ""SECONDARY"" for a secondary code, and ""SUPERSEDED"" for a code which has been superseded by another code, etc).",type,Current,string,x,,,,,,,,,,,,,
Created,/created,root_created,,Record Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,x,,,,,,,,,,,,,
Created By,/createdBy,root_createdBy,,Record Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,x,,,,,,,,,,,,,
Definition Level,/definitionLevel,root_definitionLevel,,Record Definition Level,,,"The level of completeness and specificity of the definition (e.g. ""complete"", ""incomplete"", ""representative"").",definitionLevel,Current,string,x,,,,,,,,,,,,,
Deprecated,/deprecated,root_deprecated,,Record Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,x,,,,,,,,,,,,,
Last Edited,/lastEdited,root_lastEdited,,Record Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,x,,,,,,,,,,,,,
Last Edited By,/lastEditedBy,root_lastEditedBy,,Record Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,x,,,,,,,,,,,,,
Agent Modifications,/modifications/agentModifications,,,Agent Modifications,REMOVE LUCENE PATH,,"A list of agent modifications applied to this substance. An agent modification is an ""agent"" (usually a substance) which specifically interacted with and permanently altered the original substance material under some specified conditions, forming a new substance.",agentModifications,Current,array <AgentModification>,x,null or contains,,,,,,,,,,,,
Agent Modification Process,/modifications/agentModifications/?/agentModificationProcess,root_modifications_agentModifications_agentModificationProcess,AGENT_MODIFICATION_PROCESS,Agent Modification Agent Modification Process,,,The process used for the agent modification.,agentModificationProcess,Current,string,x,,,,,,,,,,,,,
Agent Substance,/modifications/agentModifications/?/agentSubstance,,,Agent Modification Agent Substance,REMOVE LUCENE PATH,,A reference to the substance which acts as an agent in the agent modification.,agentSubstance,Current,object <SubstanceReference>,x,by name,,,,,,,,,,,,
Ref Pname,/modifications/agentModifications/?/agentSubstance/refPname,root_modifications_agentModifications_agentSubstance_refPname,,Agent Substance Preferred Name,,,"The ""Priority Name"" (usually the display name) of the record being referenced.",refPname,Current,string,x,,,,,,,,,,,,,
Physical Modifications,/modifications/physicalModifications,,,Physical Modifications,REMOVE LUCENE PATH,,A list of physical modifications applied to this substance. A physical modification is a physical interaction (such as heating) where the result permanently alters the original source substance.,physicalModifications,Current,array <PhysicalModification>,x,,,,,,,,,,,,,
